Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.gui.options.ResourceChartOptionPageProvider,4,2,1,0,6,2
net.sourceforge.ganttproject.gui.options.SettingsDialog2,11,2,2,0,24,10
net.sourceforge.ganttproject.gui.options.SpringUtilities,5,1,2,0,24,17
net.sourceforge.ganttproject.gui.options.TopPanel,5,1,1,0,11,3
net.sourceforge.ganttproject.gui.options.WeekendsSettingsPanel,16,6,1,0,33,8
net.sourceforge.ganttproject.gui.options.model.CustomPropertyDefaultValueAdapter,16,1,1,0,6,28
net.sourceforge.ganttproject.gui.options.model.GP1XOptionConverter,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.gui.options.model.OptionPageProvider,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.gui.projectwizard.I18N,10,1,8,0,15,10
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizard,9,1,1,0,10,1
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizardWindow,14,2,1,0,18,5
net.sourceforge.ganttproject.gui.projectwizard.ProjectNamePage,5,1,2,0,9,5
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage,6,1,3,0,22,5
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage.RoleSetListModel,5,2,2,0,23,13
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage,24,1,6,0,69,31
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage.CalendarOption,4,3,1,0,7,2
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage.CheckBoxAction,3,2,1,0,7,4
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage.SchedulingEnum,2,n/a,2,n/a,2,0
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage.WeekendSchedulingOption,4,3,1,1,8,2
net.sourceforge.ganttproject.gui.projectwizard.WizardImpl,12,1,1,2,47,23
net.sourceforge.ganttproject.gui.projectwizard.WizardPage,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.gui.scrolling.ScrollingListener,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.gui.scrolling.ScrollingManager,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.gui.scrolling.ScrollingManagerImpl,4,1,1,0,12,9
net.sourceforge.ganttproject.gui.tableView.ColumnManagerPanel,25,1,1,0,60,36
net.sourceforge.ganttproject.gui.tableView.ColumnManagerPanel.DefaultValueOption,5,3,2,0,13,6
net.sourceforge.ganttproject.gui.tableView.ColumnManagerPanel.IsVisibleOption,6,3,2,0,14,9
net.sourceforge.ganttproject.gui.tableView.ColumnManagerPanel.NameOption,4,3,1,0,10,4
net.sourceforge.ganttproject.gui.tableView.ColumnManagerPanel.PropertyClassOption,10,3,2,0,33,11
net.sourceforge.ganttproject.gui.taskproperties.CommonPanel,8,1,3,0,12,4
net.sourceforge.ganttproject.gui.taskproperties.CustomColumnsPanel,11,1,1,0,17,5
net.sourceforge.ganttproject.gui.taskproperties.CustomColumnsPanel.CustomColumnTableModel,7,3,5,0,24,18
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel,19,2,2,0,59,31
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel.MyColumn,4,n/a,5,n/a,11,4
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel.TaskComboItem,4,1,0,0,6,5
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModelTest,8,4,2,0,15,3
net.sourceforge.ganttproject.gui.taskproperties.InternalStateListener,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.gui.taskproperties.MilestoneObjectiveException,1,4,0,0,2,1
net.sourceforge.ganttproject.gui.taskproperties.ObjectivesPanel,7,1,1,0,18,10
net.sourceforge.ganttproject.gui.taskproperties.ObjectivesTableModel,11,2,4,0,55,43
net.sourceforge.ganttproject.gui.taskproperties.ObjectivesTableModel.Column,1,n/a,4,n/a,5,3
net.sourceforge.ganttproject.gui.taskproperties.Over100Exception,0,4,0,0,2,1
net.sourceforge.ganttproject.gui.taskproperties.ResourcesTableModel,9,2,4,0,53,38
net.sourceforge.ganttproject.gui.taskproperties.ResourcesTableModel.Column,2,n/a,4,n/a,7,3
net.sourceforge.ganttproject.gui.taskproperties.SuperTaskObjectiveException,1,4,0,0,2,1
net.sourceforge.ganttproject.gui.taskproperties.TaskAllocationsPanel,20,1,1,0,65,14
net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel,19,1,1,0,39,19
net.sourceforge.ganttproject.gui.taskproperties.TaskScheduleDatesPanel,19,1,1,0,65,37
net.sourceforge.ganttproject.gui.view.GPView,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.gui.view.GPViewManager,n/a,n/a,n/a,n/a,9,n/a
net.sourceforge.ganttproject.gui.view.ViewHolder,8,1,2,0,19,9
net.sourceforge.ganttproject.gui.view.ViewManagerImpl,15,1,3,0,33,18
net.sourceforge.ganttproject.gui.window.ContentPaneBuilder,5,1,2,0,7,3
net.sourceforge.ganttproject.gui.window.ContentPaneBuilder.AnimationHostImpl,2,1,2,0,10,4
net.sourceforge.ganttproject.gui.zoom.ZoomEvent,7,2,1,0,3,2
net.sourceforge.ganttproject.gui.zoom.ZoomListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.gui.zoom.ZoomManager,22,1,1,0,29,17
net.sourceforge.ganttproject.gui.zoom.ZoomManager.ZoomState,9,1,2,0,9,6
net.sourceforge.ganttproject.importer.BufferProject,23,2,6,0,23,9
net.sourceforge.ganttproject.importer.FileChooserPage,9,2,5,0,20,10
net.sourceforge.ganttproject.importer.ImportFileWizardImpl,9,2,1,0,10,3
net.sourceforge.ganttproject.importer.Importer,n/a,n/a,n/a,n/a,9,n/a
net.sourceforge.ganttproject.importer.ImporterBase,15,1,6,5,35,19
net.sourceforge.ganttproject.importer.ImporterChooserPage,9,1,2,0,15,8
net.sourceforge.ganttproject.importer.ImporterFactory,7,1,1,0,11,6
net.sourceforge.ganttproject.importer.ImporterFromGanttFile,36,2,4,0,64,12
net.sourceforge.ganttproject.importer.ImporterFromGanttFile.TaskFieldImpl,2,1,10,0,11,11
net.sourceforge.ganttproject.importer.ImporterFromGanttFile.VisibleFieldsImpl,4,1,1,0,13,6
net.sourceforge.ganttproject.importer.ImporterFromTxtFile,5,2,3,0,11,4
net.sourceforge.ganttproject.io.AssignmentSaver,9,2,1,0,24,5
net.sourceforge.ganttproject.io.CSVOptions,11,1,4,0,22,12
net.sourceforge.ganttproject.io.CalendarSaver,8,2,1,0,30,8
net.sourceforge.ganttproject.io.GPSaver,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.io.GanttChartViewSaver,4,2,1,0,16,5
net.sourceforge.ganttproject.io.GanttTXTOpen,3,1,1,0,11,4
net.sourceforge.ganttproject.io.GanttXMLOpen,16,1,4,0,22,11
net.sourceforge.ganttproject.io.GanttXMLOpen.DefaultTagHandler,10,2,2,0,33,23
net.sourceforge.ganttproject.io.GanttXMLOpen.TimelineTagHandler,8,2,3,0,20,8
net.sourceforge.ganttproject.io.GanttXMLSaver,28,2,1,0,61,22
net.sourceforge.ganttproject.io.HistorySaver,6,2,1,0,19,5
net.sourceforge.ganttproject.io.OptionSaver,5,2,1,0,14,8
net.sourceforge.ganttproject.io.ResourceSaver,10,2,1,0,40,10
net.sourceforge.ganttproject.io.SaverBase,14,1,4,13,28,12
net.sourceforge.ganttproject.io.TaskSaver,25,2,1,0,97,33
net.sourceforge.ganttproject.io.VacationSaver,8,2,1,0,16,4
net.sourceforge.ganttproject.io.ViewSaver,14,2,1,0,35,8
net.sourceforge.ganttproject.io.XmlParser,6,3,3,0,27,17
net.sourceforge.ganttproject.language.CharSetMap,2,1,2,0,44,44
net.sourceforge.ganttproject.language.GanttLanguage,133,1,3,0,108,57
net.sourceforge.ganttproject.language.GanttLanguage.CalendarFactoryImpl,3,2,3,0,7,3
net.sourceforge.ganttproject.language.GanttLanguage.Event,13,2,1,0,4,2
net.sourceforge.ganttproject.language.GanttLanguage.Listener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.language.LanguageOption,7,3,4,2,26,13
net.sourceforge.ganttproject.language.ShortDateFormatOption,5,3,1,0,22,9
net.sourceforge.ganttproject.parser.AbstractTagHandler,21,1,1,20,21,18
net.sourceforge.ganttproject.parser.AllocationTagHandler,15,2,2,0,43,21
net.sourceforge.ganttproject.parser.ColorValueParser,2,1,1,0,2,1
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler,15,2,2,0,34,15
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.CustomPropertiesStructure,1,1,3,0,4,4
net.sourceforge.ganttproject.parser.DefaultWeekTagHandler,4,2,1,0,14,7
net.sourceforge.ganttproject.parser.DependencyTagHandler,16,2,2,0,38,16
net.sourceforge.ganttproject.parser.DependencyTagHandler.GanttDependStructure,5,1,5,0,6,6
net.sourceforge.ganttproject.parser.FileFormatException,5,3,0,0,7,4
net.sourceforge.ganttproject.parser.GPParser,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.parser.HolidayTagHandler,12,2,1,0,32,16
net.sourceforge.ganttproject.parser.HolidayTagHandler.CalendarEventAttrs,1,1,0,0,7,2
net.sourceforge.ganttproject.parser.OptionTagHandler,4,2,1,0,12,6
net.sourceforge.ganttproject.parser.ParserFactory,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.parser.ParsingContext,8,1,2,0,13,6
net.sourceforge.ganttproject.parser.ParsingListener,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler,6,2,3,0,25,14
net.sourceforge.ganttproject.parser.ResourceTagHandler,13,2,2,0,53,28
net.sourceforge.ganttproject.parser.RoleTagHandler,8,2,1,0,21,14
net.sourceforge.ganttproject.parser.TagHandler,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.parser.TaskDisplayColumnsTagHandler,8,2,2,0,17,17
net.sourceforge.ganttproject.parser.TaskObjectivesTagHandler,6,2,3,0,13,5
net.sourceforge.ganttproject.parser.TaskPropertiesTagHandler,3,2,1,0,7,4
net.sourceforge.ganttproject.parser.TaskTagHandler,18,2,2,0,76,30
net.sourceforge.ganttproject.parser.VacationTagHandler,6,2,1,0,12,3
net.sourceforge.ganttproject.parser.ViewTagHandler,5,2,1,0,10,5
net.sourceforge.ganttproject.plugins.PluginManager,11,1,1,0,12,7
net.sourceforge.ganttproject.print.GanttPrintable,2,1,1,0,14,4
net.sourceforge.ganttproject.print.PrintManager,5,1,1,0,16,3
net.sourceforge.ganttproject.print.PrintPreview,20,6,1,0,142,44
net.sourceforge.ganttproject.print.PrintPreview.PagePreview,2,5,1,0,36,11
net.sourceforge.ganttproject.print.PrintPreview.PreviewContainer,1,5,1,0,13,11
net.sourceforge.ganttproject.print.PrintPreview.StatusBar,1,5,4,0,12,5
net.sourceforge.ganttproject.resource.AssignmentContext,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.resource.AssignmentNode,9,4,3,0,16,14
net.sourceforge.ganttproject.resource.HumanResource,79,1,4,0,68,47
net.sourceforge.ganttproject.resource.HumanResource.CustomPropertyImpl,4,1,2,0,5,4
net.sourceforge.ganttproject.resource.HumanResource.ResourceAssignmentImpl,4,1,6,0,16,11
net.sourceforge.ganttproject.resource.HumanResourceManager,66,1,4,0,57,42
net.sourceforge.ganttproject.resource.HumanResourceManager.ResourceBuilder,3,1,7,1,9,7
net.sourceforge.ganttproject.resource.HumanResourceMerger,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.resource.HumanResourceMerger.MergeResourcesOption,7,3,0,0,2,1
net.sourceforge.ganttproject.resource.LoadDistribution,10,1,2,0,36,29
net.sourceforge.ganttproject.resource.LoadDistribution.Load,4,1,1,0,3,3
net.sourceforge.ganttproject.resource.LoadDistributionTest,12,4,1,0,25,2
net.sourceforge.ganttproject.resource.OverwritingMerger,10,1,2,0,44,18
net.sourceforge.ganttproject.resource.ResourceContext,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.resource.ResourceEvent,6,2,3,0,6,6
net.sourceforge.ganttproject.resource.ResourceNode,9,4,2,0,37,31
net.sourceforge.ganttproject.resource.ResourceTableNode,5,3,5,2,9,2
net.sourceforge.ganttproject.resource.ResourceView,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.resource.TestImportResources,6,3,2,0,16,2
net.sourceforge.ganttproject.roles.Role,n/a,n/a,n/a,n/a,4,n/a
net.sourceforge.ganttproject.roles.RoleImpl,6,1,2,0,9,10
net.sourceforge.ganttproject.roles.RoleManager,n/a,n/a,n/a,n/a,12,n/a
net.sourceforge.ganttproject.roles.RoleManager.Access,8,1,1,0,2,1
net.sourceforge.ganttproject.roles.RoleManager.Listener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.roles.RoleManager.RoleEvent,5,2,1,0,3,2
net.sourceforge.ganttproject.roles.RoleManagerImpl,14,1,2,0,52,28
net.sourceforge.ganttproject.roles.RolePersistentID,3,1,1,0,8,6
net.sourceforge.ganttproject.roles.RoleSet,n/a,n/a,n/a,n/a,11,n/a
net.sourceforge.ganttproject.roles.RoleSetImpl,6,1,2,0,28,20
net.sourceforge.ganttproject.roles.RoleSetTest,5,3,1,0,20,5
net.sourceforge.ganttproject.search.ResourceSearchService,6,2,2,0,15,5
net.sourceforge.ganttproject.search.ResourceSearchService.MySearchResult,3,2,0,0,3,1
net.sourceforge.ganttproject.search.SearchDialog,11,1,1,0,41,25
net.sourceforge.ganttproject.search.SearchDialog.SearchCallback,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.search.SearchResult,7,1,5,2,7,7
net.sourceforge.ganttproject.search.SearchService,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.search.SearchServiceBase,7,1,2,2,14,6
net.sourceforge.ganttproject.search.SearchUi,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.search.SearchUiImpl,8,1,1,0,11,4
net.sourceforge.ganttproject.search.SearchUiImpl.PopupSearchCallback,5,1,2,0,34,16
net.sourceforge.ganttproject.search.TaskSearchService,6,2,2,0,18,5
net.sourceforge.ganttproject.search.TaskSearchService.MySearchResult,3,2,0,0,3,1
net.sourceforge.ganttproject.shape.JPaintCombo,2,5,1,0,6,2
net.sourceforge.ganttproject.shape.PaintCellRenderer,1,5,1,0,12,6
net.sourceforge.ganttproject.task.BlankLineNode,1,2,0,0,2,1
net.sourceforge.ganttproject.task.CustomColumEvent,2,1,4,0,8,7
net.sourceforge.ganttproject.task.CustomColumn,10,1,2,0,31,23
net.sourceforge.ganttproject.task.CustomColumnsException,6,3,1,0,5,3
net.sourceforge.ganttproject.task.CustomColumnsManager,15,1,1,0,29,12
net.sourceforge.ganttproject.task.CustomColumnsStorage,8,1,2,0,47,23
net.sourceforge.ganttproject.task.CustomColumnsValues,25,1,2,0,38,18
net.sourceforge.ganttproject.task.CustomColumnsValues.CustomPropertyImpl,3,1,2,0,5,4
net.sourceforge.ganttproject.task.CustomColumsListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.CustomPropertyEvent,7,1,3,0,8,7
net.sourceforge.ganttproject.task.CustomPropertyListenerImpl,6,1,1,0,8,5
net.sourceforge.ganttproject.task.DurationParsingException,1,4,0,0,7,4
net.sourceforge.ganttproject.task.EmailScheduler,11,1,1,0,43,29
net.sourceforge.ganttproject.task.MutableResourceAssignmentCollection,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.task.MutableTask,n/a,n/a,n/a,n/a,22,n/a
net.sourceforge.ganttproject.task.ResourceAssignment,n/a,n/a,n/a,n/a,9,n/a
net.sourceforge.ganttproject.task.ResourceAssignmentCollection,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl,11,1,4,0,39,23
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl.MutationInfo,3,1,1,0,7,6
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl.ResourceAssignmentImpl,5,1,2,0,24,11
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl.ResourceAssignmentMutatorImpl,6,1,1,0,22,10
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl.ResourceAssignmentStub,6,1,6,0,15,11
net.sourceforge.ganttproject.task.ResourceAssignmentMutator,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.Task,n/a,n/a,n/a,n/a,46,n/a
net.sourceforge.ganttproject.task.Task.Cost,n/a,n/a,n/a,n/a,7,n/a
net.sourceforge.ganttproject.task.Task.Priority,14,n/a,3,n/a,13,11
net.sourceforge.ganttproject.task.TaskActivitiesAlgorithm,7,1,1,0,12,5
net.sourceforge.ganttproject.task.TaskActivity,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.task.TaskActivityImpl,5,1,5,0,18,10
net.sourceforge.ganttproject.task.TaskContainmentHierarchyFacade,n/a,n/a,n/a,n/a,19,n/a
net.sourceforge.ganttproject.task.TaskContainmentHierarchyFacade.Factory,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.TaskDocumentOrderComparator,6,1,1,0,6,4
net.sourceforge.ganttproject.task.TaskImpl,69,1,17,2,185,144
net.sourceforge.ganttproject.task.TaskImpl.CostImpl,3,1,1,0,10,8
net.sourceforge.ganttproject.task.TaskImpl.EventSender,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.task.TaskImpl.FieldChange,2,1,2,0,3,2
net.sourceforge.ganttproject.task.TaskImpl.MutatorException,1,4,0,0,2,1
net.sourceforge.ganttproject.task.TaskImpl.MutatorImpl,21,1,3,1,74,79
net.sourceforge.ganttproject.task.TaskImpl.ProgressEventSender,4,1,1,0,3,3
net.sourceforge.ganttproject.task.TaskImpl.PropertiesEventSender,4,1,1,0,3,3
net.sourceforge.ganttproject.task.TaskInfo,n/a,n/a,n/a,n/a,0,n/a
net.sourceforge.ganttproject.task.TaskManager,n/a,n/a,n/a,n/a,39,n/a
net.sourceforge.ganttproject.task.TaskManager.Access,8,1,1,0,2,1
net.sourceforge.ganttproject.task.TaskManager.TaskBuilder,16,1,19,1,19,18
net.sourceforge.ganttproject.task.TaskManagerConfig,n/a,n/a,n/a,n/a,7,n/a
net.sourceforge.ganttproject.task.TaskManagerImpl,89,1,7,0,264,173
net.sourceforge.ganttproject.task.TaskManagerImpl.FacadeFactoryImpl,4,1,1,0,1,1
net.sourceforge.ganttproject.task.TaskManagerImpl.FacadeImpl,6,1,10,0,54,49
net.sourceforge.ganttproject.task.TaskManagerImpl.TaskMap,5,1,1,0,24,11
net.sourceforge.ganttproject.task.TaskManagerImpl.TaskNamePrefixOption,5,3,3,0,8,4
net.sourceforge.ganttproject.task.TaskMutator,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.task.TaskNode,13,3,1,0,39,20
net.sourceforge.ganttproject.task.TaskObjective,n/a,n/a,n/a,n/a,7,n/a
net.sourceforge.ganttproject.task.TaskObjectiveCollection,n/a,n/a,n/a,n/a,15,n/a
net.sourceforge.ganttproject.task.TaskObjectiveCollectionImpl,5,1,2,0,33,22
net.sourceforge.ganttproject.task.TaskObjectiveImpl,3,1,4,0,8,8
net.sourceforge.ganttproject.task.TaskProperties,24,1,1,0,56,56
net.sourceforge.ganttproject.task.TaskSelectionManager,27,1,1,0,36,28
net.sourceforge.ganttproject.task.TaskSelectionManager.Listener,n/a,n/a,n/a,n/a,2,n/a
net.sourceforge.ganttproject.task.TaskView,9,1,1,0,2,1
net.sourceforge.ganttproject.task.algorithm.AdjustTaskBoundsAlgorithm,19,2,1,1,30,12
net.sourceforge.ganttproject.task.algorithm.AdjustTaskBoundsAlgorithm.AlgorithmImpl,7,1,1,0,21,13
net.sourceforge.ganttproject.task.algorithm.AlgorithmBase,20,1,3,4,5,5
net.sourceforge.ganttproject.task.algorithm.AlgorithmBase.Diagnostic,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.algorithm.AlgorithmCollection,40,1,8,0,10,9
net.sourceforge.ganttproject.task.algorithm.AlgorithmException,3,3,0,0,2,1
net.sourceforge.ganttproject.task.algorithm.CostAlgorithmImpl,8,1,1,0,18,4
net.sourceforge.ganttproject.task.algorithm.CostAlgorithmTest,12,4,2,0,26,2
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithm,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithmImpl,10,1,1,0,23,6
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithmImpl.Node,6,1,2,0,18,11
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithmImpl.Processor,11,1,1,0,36,22
net.sourceforge.ganttproject.task.algorithm.DependencyGraph,23,1,2,0,83,71
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.DependencyEdge,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.ExplicitDependencyImpl,15,1,2,0,30,16
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.GraphData,4,1,1,0,25,23
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.ImplicitInheritedDependency,3,1,4,0,19,11
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.ImplicitSubSuperTaskDependency,5,1,3,0,18,11
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.Listener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.Logger,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.Node,11,1,2,0,28,17
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.NodeData,3,1,1,0,18,17
net.sourceforge.ganttproject.task.algorithm.DependencyGraph.Transaction,4,1,1,0,7,5
net.sourceforge.ganttproject.task.algorithm.DependencyGraphTest,10,4,1,0,45,21
net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithm,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithmImpl,4,1,1,1,10,5
net.sourceforge.ganttproject.task.algorithm.ProjectBoundsAlgorithm,2,1,1,0,10,4
net.sourceforge.ganttproject.task.algorithm.ProjectBoundsAlgorithm.Result,1,1,0,0,1,1
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskCompletionPercentageAlgorithm,11,2,1,1,15,13
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskScheduleAlgorithm,32,2,1,2,63,40
net.sourceforge.ganttproject.task.algorithm.RetainRootsAlgorithm,5,1,1,0,8,5
net.sourceforge.ganttproject.task.algorithm.SchedulerImpl,28,2,2,0,67,36
net.sourceforge.ganttproject.task.algorithm.SchedulerTest,19,4,1,0,56,19
net.sourceforge.ganttproject.task.algorithm.ShiftTaskTreeAlgorithm,14,1,1,0,15,8
net.sourceforge.ganttproject.task.algorithm.SortTasksAlgorithm,7,1,2,0,3,14
net.sourceforge.ganttproject.task.dependency.EventDispatcher,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.task.dependency.LoopDetector,6,1,1,0,8,2
net.sourceforge.ganttproject.task.dependency.MutableTaskDependencyCollection,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.task.dependency.RangeSearchFromKey,3,2,0,0,3,1
net.sourceforge.ganttproject.task.dependency.RangeSearchToKey,3,2,0,0,3,1
net.sourceforge.ganttproject.task.dependency.SearchKey,5,1,1,2,9,10
net.sourceforge.ganttproject.task.dependency.TaskDependency,n/a,n/a,n/a,n/a,10,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependency.ActivityBinding,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependency.Hardness,26,1,2,2,6,8
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollection,n/a,n/a,n/a,n/a,6,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl,20,1,2,1,61,37
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl.MutationInfo,2,1,1,0,2,2
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl.MutatorImpl,10,1,1,0,25,14
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionMutator,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint,n/a,n/a,n/a,n/a,7,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint.Collision,n/a,n/a,n/a,n/a,3,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint.DefaultCollision,6,1,3,0,4,4
net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint.Type,18,n/a,3,n/a,11,6
net.sourceforge.ganttproject.task.dependency.TaskDependencyException,31,4,0,0,7,4
net.sourceforge.ganttproject.task.dependency.TaskDependencyImpl,12,1,5,0,33,28
net.sourceforge.ganttproject.task.dependency.TaskDependencySlice,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.task.dependency.TaskDependencySliceAsDependant,6,2,1,0,6,2
net.sourceforge.ganttproject.task.dependency.TaskDependencySliceAsDependee,6,2,1,0,6,2
net.sourceforge.ganttproject.task.dependency.TaskDependencySliceImpl,8,1,1,2,21,14
net.sourceforge.ganttproject.task.dependency.constraint.ConstraintImpl,13,1,5,4,21,13
net.sourceforge.ganttproject.task.dependency.constraint.DependencyActivityBindingImpl,6,1,3,0,4,4
net.sourceforge.ganttproject.task.dependency.constraint.FinishFinishConstraintImpl,28,2,2,0,35,9
net.sourceforge.ganttproject.task.dependency.constraint.FinishStartConstraintImpl,30,2,2,0,31,9
net.sourceforge.ganttproject.task.dependency.constraint.StartFinishConstraintImpl,23,2,2,0,36,9
net.sourceforge.ganttproject.task.dependency.constraint.StartStartConstraintImpl,21,2,2,0,31,8
net.sourceforge.ganttproject.task.event.TaskDependencyEvent,10,2,1,0,3,2
net.sourceforge.ganttproject.task.event.TaskHierarchyEvent,8,2,3,0,5,4
net.sourceforge.ganttproject.task.event.TaskListener,n/a,n/a,n/a,n/a,10,n/a
net.sourceforge.ganttproject.task.event.TaskListenerAdapter,9,1,10,9,10,10
net.sourceforge.ganttproject.task.event.TaskPropertyEvent,6,2,1,0,3,2
net.sourceforge.ganttproject.task.event.TaskScheduleEvent,10,2,5,0,8,6
net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyItem,4,1,2,0,11,17
net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyManagerImpl,4,1,1,0,3,2
net.sourceforge.ganttproject.test.task.ImportTasksTestCase,10,4,2,0,32,5
net.sourceforge.ganttproject.test.task.TaskTestCase,44,3,1,32,24,11
net.sourceforge.ganttproject.test.task.TestCriticalPath,11,4,10,0,32,10
net.sourceforge.ganttproject.test.task.TestCriticalPath.LaggedDependencyChainCriticalPathTester,9,1,1,0,17,2
net.sourceforge.ganttproject.test.task.TestLocalCriticalPath,8,4,3,0,21,3
net.sourceforge.ganttproject.test.task.TestResourceAssignments,19,3,1,0,45,21
net.sourceforge.ganttproject.test.task.TestTaskActivitiesRecalculation,8,4,2,0,18,2
net.sourceforge.ganttproject.test.task.TestTaskBounds,8,4,1,0,16,1
net.sourceforge.ganttproject.test.task.TestTaskCompletionPercentage,8,4,4,0,17,4
